日期,max_temp,min_temp,ave_temp,T0100
20180103,0,-5,-2.5,3298.88127
20180104,-2,-8,-5,3480.50835
20180105,-4,-5,-4.5,3466.69934
20180106,-2,-5,-3.5,3547.883965
20180107,-1,-5,-3,3448.99305
20180108,-2,-6,-4,3438.18243
20180109,0,-5,-2.5,3572.65892
20180110,3,-5,-1,3541.6266
20180111,6,-5,0.5,3538.271485
20180112,0,-6,-3,3599.77686
20180113,3,-3,0,3659.230425
20180114,6,-3,1.5,3594.947535
20180115,6,-1,2.5,3494.88622
20180116,7,-1,3,3567.33417
20180117,5,-3,1,3517.40882
20180118,4,-2,1,3451.988305
20180119,7,-2,2.5,3455.448965
20180120,8,-2,3,3387.3181
20180121,10,-2,4,3319.813
20180122,8,-1,3.5,3236.770175
20180123,6,-3,1.5,3329.046525
20180124,2,-5,-1.5,3449.07608
20180125,0,-7,-3.5,3595.072555
20180126,-3,-5,-4,3605.17115
20180127,-1,-4,-2.5,3692.92132
20180128,-3,-5,-4,3610.01463
20180129,0,-7,-3.5,3624.67047
20180130,0,-8,-4,3774.805525
20180131,2,-6,-2,3704.65021
20180201,4,-6,-1,3691.2649
20180202,1,-5,-2,3626.620155
20180203,2,-5,-1.5,3586.192525
20180204,4,-6,-1,3554.020965
20180205,5,-3,1,3444.115275
20180206,6,-3,1.5,3428.3258
20180207,5,-3,1,3392.241285
20180208,6,-3,1.5,3358.202025
20180209,5,-5,0,3263.845365
20180210,9,-4,2.5,3169.443485
20180211,5,-3,1,3051.75093
20180212,8,-2,3,3020.1963
20180213,9,-2,3.5,2830.267075
20180214,10,-1,4.5,2609.01008
20180215,9,-1,4,2405.024275
20180216,11,1,6,2549.4276
20180217,5,1,3,2287.95625
20180218,9,1,5,2286.749465
20180219,12,1,6.5,2361.1509
20180220,9,-1,4,2364.043935
20180221,9,0,4.5,2448.62481
20180222,13,1,7,2576.1302
20180223,15,3,9,2598.89885
20180224,16,2,9,2621.315525
20180225,15,3,9,2669.88095
20180226,19,6,12.5,2581.0018
20180227,15,4,9.5,2598.2291
20180228,22,7,14.5,2626.64455
20180301,15,2,8.5,2575.98181
20180302,18,6,12,2554.262625
20180303,19,11,15,2607.53625
20180304,14,4,9,2567.79395
20180305,14,4,9,2597.49019
20180306,8,3,5.5,2760.414525
20180307,11,2,6.5,2853.017485
20180308,13,1,7,2830.919535
20180309,16,4,10,2765.283465
20180310,18,6,12,2777.75041
20180311,19,5,12,2693.61138
20180312,21,8,14.5,2564.22328
20180313,23,7,15,2589.5233
20180314,23,10,16.5,2567.168565
20180315,24,4,14,2490.51221
20180316,16,2,9,2345.4018
20180317,8,16,12,2434.86881
20180318,12,5,8.5,2519.046315
20180319,12,5,8.5,2457.10185
20180320,12,2,7,2550.8849
20180321,18,5,11.5,2562.9632
20180322,22,6,14,2480.869615
20180323,22,8,15,2412.4471
20180324,20,7,13.5,2406.64355
20180325,23,9,16,2297.486365
20180326,25,11,18,2265.0622
20180327,29,12,20.5,2328.17374
20180328,29,13,21,2340.28795
20180329,27,11,19,2332.04081
20180330,25,11,18,2329.50811
20180331,26,12,19,2363.29505
20180401,28,12,20,2275.50327
20180402,30,12,21,2206.425825
20180403,30,12,21,2251.099955
20180404,23,5,14,2319.93762
20180405,19,6,12.5,2175.886365
20180406,15,3,9,2079.319435
20180407,19,8,13.5,2223.20273
20180408,27,9,18,2193.34214
20180409,27,14,20.5,2258.4654
20180410,26,12,19,2271.85242
20180411,24,9,16.5,2284.01128
20180412,19,8,13.5,2289.510165
20180413,11,4,7.5,2258.28452
20180414,18,7,12.5,2337.3705
20180415,19,8,13.5,2274.132515
20180416,23,10,16.5,2202.262165
20180417,28,12,20,2269.66647
20180418,27,17,22,2258.705275
20180419,29,13,21,2299.61161
20180420,24,13,18.5,2339.063305
20180421,27,15,21,2287.90894
20180422,25,13,19,2292.931875
20180423,22,13,17.5,2188.962165
20180424,17,11,14,2254.100435
20180425,20,10,15,2276.46695
20180426,26,16,21,2349.9295
20180427,27,16,21.5,2368.192965
20180428,25,14,19.5,2396.78046
20180429,29,16,22.5,2381.32301
20180430,28,18,23,2338.6321
20180501,29,14,21.5,2193.64899
20180502,24,13,18.5,2155.959165
20180503,29,16,22.5,2349.654285
20180504,30,17,23.5,2414.8202
20180505,28,14,21,2440.64975
20180506,18,10,14,2311.37109
20180507,21,12,16.5,2204.71136
20180508,26,14,20,2371.823865
20180509,21,13,17,2380.17028
20180510,21,11,16,2392.60445
20180511,23,12,17.5,2321.341435
20180512,29,17,23,2401.90039
20180513,30,18,24,2422.150685
20180514,31,20,25.5,2441.756785
20180515,31,18,24.5,2685.93044
20180516,33,21,27,2770.422395
20180517,31,18,24.5,3182.59025
20180518,27,17,22,2782.96705
20180519,25,13,19,2942.92254
20180520,22,13,17.5,2553.842345
20180521,22,12,17,2380.00422
20180522,25,14,19.5,2332.090875
20180523,25,14,19.5,2442.1384
20180524,26,16,21,2427.64615
20180525,29,16,22.5,2574.93415
20180526,24,13,18.5,2695.338575
20180527,28,15,21.5,2379.24536
20180528,29,19,24,2408.50935
20180529,28,16,22,2565.95475
20180530,31,16,23.5,2591.17117
20180531,30,17,23.5,2572.7197
20180601,31,17,24,2744.25892
20180602,29,17,23,2578.611695
20180603,30,16,23,2639.96887
20180604,32,19,25.5,2493.764345
20180605,35,20,27.5,2658.40894
20180606,35,20,27.5,2855.08345
20180607,30,14,22,3133.04623
20180608,26,14,20,2811.27914
20180609,29,17,23,2446.04936
20180610,33,19,26,2588.6322
20180611,34,20,27,2628.627485
20180612,35,21,28,3032.050685
20180613,37,20,28.5,3307.186075
20180614,36,21,28.5,3395.407635
20180615,35,20,27.5,3558.6715
20180616,30,19,24.5,3674.115975
20180617,33,20,26.5,2926.801135
20180618,24,19,21.5,2957.039255
20180619,31,20,25.5,2395.66763
20180620,33,20,26.5,2980.239775
20180621,33,19,26,3309.41848
20180622,35,19,27,3425.632075
20180623,34,23,28.5,3678.78342
20180624,35,21,28,4013.27728
20180625,34,22,28,3592.41569
20180626,31,23,27,3330.25844
20180627,33,21,27,3570.1095
20180628,34,18,26,3938.354865
20180629,31,21,26,4042.33911
20180630,33,20,26.5,3929.00715
20180701,34,18,26,3760.61585
20180702,29,17,23,2810.0183
20180703,25,19,22,2654.546335
20180704,25,17,21,2642.615
20180705,28,20,24,3531.0531
20180706,32,21,26.5,3002.67165
20180707,32,21,26.5,3426.0287
20180708,31,19,25,3642.98286
20180709,28,19,23.5,2783.292615
20180710,26,20,23,2732.1772
20180711,29,20,24.5,2697.671775
20180712,32,21,26.5,2697.09959
20180713,31,22,26.5,2943.600935
20180714,33,23,28,3257.32827
20180715,35,23,29,3722.51078
20180716,36,25,30.5,4172.5482
20180717,36,24,30,3922.384415
20180718,38,24,31,4558.726715
20180719,39,25,32,4102.497268
20180720,39,26,32.5,3861.862554
20180721,38,27,32.5,4712.960901
20180722,37,24,30.5,4706.515708
20180723,37,25,31,4172.46325
20180724,38,27,32.5,4705.191911
20180725,38,27,32.5,4709.403052
20180726,37,25,31,4313.8812
20180727,37,25,31,4603.28105
20180728,37,25,31,4748.9531
20180729,36,24,30,4708.307773
20180730,35,23,29,4710.667661
20180731,32,24,28,4336.9343
20180801,33,24,28.5,4359.16962
20180802,36,24,30,4420.71955
20180803,36,24,30,4726.852351
20180804,36,26,31,4732.213135
20180805,36,24,30,4731.695821
20180806,36,25,30.5,4705.732186
20180807,37,25,31,4709.535213
20180808,37,25,31,4706.1759
20180809,37,25,31,3900.352264
20180810,37,25,31,4266.320135
20180811,36,24,30,4719.602754
20180812,37,25,31,4742.5045
20180813,37,24,30.5,4724.47825
20180814,35,25,30,4698.133135
20180815,35,22,28.5,4724.772974
20180816,34,22,28,4717.819382
20180817,30,22,26,4292.07492
20180818,35,23,29,3861.12566
20180819,35,24,29.5,4053.995135
20180820,35,24,29.5,4380.726925
20180821,34,21,27.5,4637.605714
20180822,27,19,23,3501.8805
20180823,29,21,25,2809.28433
20180824,32,21,26.5,2911.097825
20180825,33,23,28,3197.74104
20180826,33,22,27.5,3316.21573
20180827,35,22,28.5,3380.325625
20180828,33,22,27.5,3810.91569
20180829,35,23,29,4189.4316
20180830,34,23,28.5,4453.28745
20180831,34,22,28,4670.4508
20180901,34,22,28,4268.83355
20180902,30,22,26,4041.279575
20180903,32,21,26.5,2944.4319
20180904,30,19,24.5,3240.5621
20180905,23,18,20.5,3073.844225
20180906,27,16,21.5,2629.0775
20180907,25,17,21,2648.03855
